app_id,first_high_IVT,metric,before_mean,after_mean,delta_abs,delta_ratio
Invalid 1,2025-09-12 05:00:00,IVT,0.2605463111,0.9976633611166666,0.7371170500166666,3.8291210376559683
Invalid 1,2025-09-12 05:00:00,idfa_ua_ratio,622.5982610565495,412.0453686790895,-210.55289237746,0.661815803950124
Invalid 1,2025-09-12 05:00:00,idfa_ip_ratio,1.0002849912323133,1.0002694876410916,-1.5503591221710522e-05,0.9999845008259071
Invalid 1,2025-09-12 05:00:00,requests_per_idfa,1.11773919006284,1.1037369330919218,-0.01400225697091817,0.9874726974813052
Invalid 1,2025-09-12 05:00:00,unique_idfas,159394.0,101520.5,-57873.5,0.6369154422374744
Invalid 1,2025-09-12 05:00:00,unique_uas,215.33333333333334,220.83333333333334,5.5,1.0255417956656347
Invalid 2,2025-09-11 21:00:00,IVT,0.2740602,0.9974647708375,0.7234045708375,3.6395827297706855
Invalid 2,2025-09-11 21:00:00,idfa_ua_ratio,33.6576227390181,62.43792695174896,28.78030421273086,1.855090225352335
Invalid 2,2025-09-11 21:00:00,idfa_ip_ratio,1.00007677837921,1.000360288705395,0.0002835103261851213,1.0002834885603928
Invalid 2,2025-09-11 21:00:00,requests_per_idfa,1.03731142758435,1.0855635382335662,0.048252110649216196,1.0465165131377987
Invalid 2,2025-09-11 21:00:00,unique_idfas,26051.0,68260.125,42209.125,2.6202497025066216
Invalid 2,2025-09-11 21:00:00,unique_uas,774.0,875.375,101.375,1.1309754521963824
Invalid 3,2025-09-13 05:00:00,IVT,0.1616772249934,0.995146520825,0.8334692958316,6.155143501910203
Invalid 3,2025-09-13 05:00:00,idfa_ua_ratio,485.10561460289557,275.4954334253736,-209.61018117752195,0.5679081526419612
Invalid 3,2025-09-13 05:00:00,idfa_ip_ratio,1.003433860705398,1.0016644057421824,-0.0017694549632156775,0.9982366003057025
Invalid 3,2025-09-13 05:00:00,requests_per_idfa,1.205665269063944,1.11705095819156,-0.08861431087238403,0.9265017305000561
Invalid 3,2025-09-13 05:00:00,unique_idfas,116688.0,62637.25,-54050.75,0.5367925579322638
Invalid 3,2025-09-13 05:00:00,unique_uas,198.8,197.25,-1.5500000000000114,0.9922032193158953
